gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
542,-12.7,-6.1,40,10,1,1,0
388,-3.3,-3.3,24,6,2,1,0
1055,-4,-9.9,171,7,1,2,0
458,-7.5,-10,685,7,4,1,2
614,-7.8,-8.3,24,6,2,1,0
490,-11.3,-5.8,78,9,1,1,0
149,-3.9,-4.8,210,9,1,1,0
494,-9.6,-10.4,82,4,3,1,0
535,-9.2,-9.3,26,6,3,1,0
148,-9.2,-6.7,108,5,2,1,0
797,-18.3,-20.6,206,6,1,1,1
443,-22.5,-12.8,66,3,1,2,0
358,-10.6,-13.2,217,6,2,1,5
580,-8.9,-8.9,26,4,2,1,0
636,-2.5,-7.5,109,4,2,1,0
459,-5.7,-5.1,33,7,2,1,0
690,-14.8,-8.1,151,5,1,1,0
1529,-8,-7.8,333,5,2,3,0
486,-15.9,-13.3,256,6,2,4,1
112,-7.1,-9.4,15,4,1,1,0
192,-11.3,-13.5,160,6,2,4,1
286,-6.8,-10.3,187,6,1,1,0
172,-4.5,-11.1,194,5,4,1,0
284,-6.8,-10,121,9,1,1,0
185,-8.8,-8.8,27,3,2,3,0
772,-16.9,-3.7,115,5,1,2,0
770,-12.2,-6.4,127,7,3,1,0
570,-5,-5.6,60,6,4,1,0
1036,-10.2,-10.7,94,3,3,1,0
1098,-12,-6.6,82,5,1,3,0
212,-10.2,-4.3,139,6,1,1,0
154,-4.9,-1.4,40,8,3,1,1
633,-11.3,-17.4,163,5,1,3,0
285,-13.6,-17,214,6,1,3,0
607,-8,-8,23,4,4,1,0
207,-10.1,-9.1,28,7,3,1,0
212,-8.4,-8.9,23,5,1,1,0
237,-8.5,-4.6,73,6,1,1,0
577,-15,-11.9,69,4,2,1,0
355,-9.9,-7.2,209,6,4,4,0
543,-5.1,-5.8,194,6,1,1,0
178,-3.9,-3.9,28,9,1,1,0
1149,-10.5,-10.5,36,4,2,1,0
808,-8.8,-8.3,89,3,3,1,1
497,-13.6,-15.4,65,6,3,2,0
643,-6.2,.0.00,55,6,1,1,0
182,-11.1,-9.9,31,4,3,1,0
226,-6.4,-3.4,37,7,4,1,0
295,-1.6,-7.6,112,9,1,1,0
354,-6.7,-8.7,90,6,1,1,0
428,-8,-6.3,131,5,2,2,0
355,-14.1,-8.6,188,1,3,3,0
206,-8.1,-14.1,214,9,1,1,3
551,-11.1,-5.7,166,5,3,1,1
